Entry,Cross-reference (Pfam),Cross-reference (InterPro)
P77609,PF14282;,IPR025577;
P23882,PF02911;PF00551;,IPR005794;IPR005793;IPR037022;IPR002376;IPR036477;IPR011034;IPR001555;
P0A9E5,PF00027;PF13545;,IPR018490;IPR000595;IPR012318;IPR014710;IPR018335;IPR036388;IPR036390;
P0ABQ4,PF00186;,IPR012259;IPR024072;IPR017925;IPR001796;
P28861,PF00970;PF00175;,IPR008333;IPR017927;IPR033892;IPR039261;IPR001433;IPR017938;
P69902,PF02515;,IPR003673;IPR023606;IPR017659;
P0AC47,PF13085;PF13183;,IPR036010;IPR001041;IPR006058;IPR017896;IPR017900;IPR012675;IPR009051;IPR004489;IPR025192;
P45543,PF00294;,IPR002173;IPR011611;IPR029056;
P25437,PF08240;PF00107;,IPR014183;IPR013149;IPR013154;IPR002328;IPR011032;IPR036291;IPR020843;
P0A805,PF01765;,IPR002661;IPR023584;IPR036191;
P04335,PF06500;,IPR029058;IPR010520;
P20966,PF02378;PF02302;,IPR036095;IPR013011;IPR003501;IPR003352;IPR013014;IPR003353;IPR006327;
P69811,PF00381;PF00359;,IPR000032;IPR035895;IPR016152;IPR002178;IPR001020;IPR002114;
P0AEW9,PF00294;,IPR022463;IPR002173;IPR011611;IPR029056;IPR017583;
P0ACP1,PF00356;PF00532;,IPR012781;IPR000843;IPR010982;IPR001761;IPR028082;
P32152,PF08279;PF00359;,IPR013196;IPR016152;IPR002178;IPR036388;IPR036390;
P69816,PF02302;,IPR036095;IPR013011;IPR003501;IPR003353;
P32676,PF02302;,IPR036095;IPR013011;IPR003501;IPR003353;
P32669,PF00923;,IPR013785;IPR023001;IPR001585;IPR004731;IPR018225;IPR033919;
P0ABH0,PF02491;,IPR020823;IPR003494;
P0A6S5,PF04977;,IPR023081;IPR007060;
P0A9R7,PF00005;,IPR003593;IPR003439;IPR017871;IPR005286;IPR027417;
P0AAI3,PF00004;PF06480;PF01434;,IPR003593;IPR003959;IPR003960;IPR005936;IPR027417;IPR011546;IPR000642;IPR037219;
P0AD68,PF03717;PF00905;,IPR012338;IPR037532;IPR005311;IPR036138;IPR001460;
P46889,PF13491;PF09397;PF01580;,IPR025199;IPR002543;IPR018541;IPR027417;IPR036388;IPR036390;
P0AEN4,PF04999;,IPR011922;
P29131,PF05036;,IPR011930;IPR007730;IPR036680;
P06136,PF03799;PF08478;,IPR005548;IPR026579;IPR034746;IPR013685;
P0AC30,PF02687;PF18075;,IPR003838;IPR004513;IPR040690;
P0A9A6,PF12327;PF00091;,IPR000158;IPR020805;IPR024757;IPR008280;IPR018316;IPR036525;IPR003008;
P69922,PF02952;PF07881;PF07882;,IPR004216;IPR038393;IPR015888;IPR038391;IPR012888;IPR005763;IPR038392;IPR009015;IPR012889;
P11553,PF02782;PF00370;,IPR000577;IPR018485;IPR018483;IPR018484;IPR013450;
P0A9S1,PF00465;,IPR001670;IPR018211;IPR039697;IPR013460;
P0ACK8,PF00455;PF08220;,IPR014036;IPR001034;IPR037171;IPR018356;IPR036388;IPR036390;
P0AC33,PF05681;PF05683;,IPR004646;IPR004647;IPR036660;IPR011167;IPR020557;
P05042,PF10415;PF00206;,IPR005677;IPR024083;IPR018951;IPR020557;IPR000362;IPR022761;IPR008948;
P0A9A9,PF01475;,IPR002481;IPR036388;IPR036390;
P0A6M8,PF00679;PF03764;PF00009;PF03144;,IPR009022;IPR035647;IPR035649;IPR000640;IPR004161;IPR031157;IPR027417;IPR020568;IPR014721;IPR005225;IPR000795;IPR009000;IPR004540;IPR005517;
P25527,PF00324;,IPR004841;IPR002293;IPR004840;IPR011265;
P09147,PF16363;,IPR016040;IPR036291;IPR005886;
P0AAB6,PF00483;,IPR005774;IPR005771;IPR005835;IPR029044;
P03024,PF00356;,IPR000843;IPR010982;IPR028082;
P25748,PF00356;,IPR000843;IPR010982;IPR028082;
P09148,PF02744;PF01087;,IPR001937;IPR019779;IPR005850;IPR005849;IPR036265;
P0AEP3,PF00483;,IPR005771;IPR005835;IPR029044;
P0A9B2,PF02800;PF00044;,IPR020831;IPR020830;IPR020829;IPR020828;IPR006424;IPR036291;
P39829,PF04295;PF08666;,IPR007392;IPR017654;IPR032893;IPR013974;
P23524,PF02595;,IPR018193;IPR004381;IPR018197;IPR036129;
P37188,PF02302;,IPR036095;IPR013011;IPR003501;
P0C8J7,PF01116;,IPR013785;IPR000771;IPR011288;IPR023955;
P0C8J6,PF01116;,IPR013785;IPR000771;IPR011288;IPR023955;
P0C8J9,PF08013;,IPR013785;IPR023436;IPR012062;
P0C8J8,PF08013;,IPR013785;IPR023436;IPR012062;
P15877,PF01011;,IPR018391;IPR017511;IPR002372;IPR011047;IPR001479;
P0A9F6,PF00126;PF03466;,IPR005119;IPR000847;IPR036388;IPR036390;
P0A6T9,PF01597;,IPR003016;IPR000089;IPR002930;IPR033753;IPR017453;IPR011053;
P33195,PF02347;,IPR003437;IPR020581;IPR015424;IPR015422;IPR015421;
P0A9I3,PF01842;,IPR002912;IPR016867;
P18956,,IPR000101;IPR029055;
P0A6U5,PF02527;,IPR003682;IPR029063;
P0ACL5,PF07729;PF00392;,IPR011711;IPR008920;IPR000524;IPR036388;IPR036390;
P37747,PF03275;,IPR004379;IPR015899;
P0A6U8,PF08323;PF00534;,IPR001296;IPR011835;IPR013534;
P0A6V1,PF00483;,IPR011831;IPR005836;IPR023049;IPR005835;IPR029044;IPR011004;
P0A6V8,PF02685;,IPR003836;
P31120,PF02878;PF02879;PF02880;PF00408;,IPR005844;IPR016055;IPR005845;IPR005846;IPR005843;IPR036900;IPR016066;IPR005841;IPR006352;
P0ACC7,PF00132;PF12804;,IPR005882;IPR038009;IPR001451;IPR018357;IPR025877;IPR029044;IPR011004;
P0A9C5,PF00120;PF03951;,IPR008147;IPR036651;IPR014746;IPR008146;IPR027303;IPR004809;IPR001637;IPR027302;
P0A9Z1,PF00543;,IPR002187;IPR011322;IPR015867;IPR017918;IPR002332;
P27249,PF01842;PF08335;PF01966;PF01909;,IPR002912;IPR003607;IPR006674;IPR013546;IPR002934;IPR010043;
P30870,PF08335;PF03710;,IPR023057;IPR005190;IPR013546;
P0AFB8,PF02954;PF00072;PF00158;,IPR003593;IPR011006;IPR009057;IPR002197;IPR027417;IPR001789;IPR002078;IPR025662;IPR025943;IPR025944;IPR010114;
P0AEQ3,PF00497;,IPR001320;IPR018313;IPR001638;
P0AC55,PF00543;,IPR002187;IPR011322;IPR015867;IPR017918;IPR002332;
P0AFB5,PF02518;PF00512;PF00989;,IPR003594;IPR036890;IPR005467;IPR003661;IPR036097;IPR000014;IPR035965;IPR013767;IPR004358;
P10346,PF00005;,IPR003593;IPR030679;IPR003439;IPR017871;IPR027417;
P00962,PF00749;PF03950;,IPR001412;IPR004514;IPR022861;IPR000924;IPR020058;IPR020059;IPR020061;IPR020056;IPR011035;IPR014729;
P0AC81,PF00903;,IPR029068;IPR004360;IPR004361;IPR018146;IPR037523;
P13033,PF00890;,IPR003953;IPR036188;IPR009158;
P0A996,PF02754;PF13183;,IPR017896;IPR017900;IPR004017;IPR017753;IPR009051;
P13035,PF01266;PF16901;,IPR031656;IPR038299;IPR006076;IPR036188;IPR000447;
P0A6V5,PF00581;,IPR001763;IPR036873;IPR023695;
P0A6F3,PF02782;PF00370;,IPR000577;IPR018485;IPR018483;IPR018484;IPR005999;
P09394,PF03009;,IPR030395;IPR017946;
P0ACL0,PF00455;PF08220;,IPR014036;IPR001034;IPR037171;IPR018356;IPR036388;IPR036390;
P0A9C9,PF03320;,IPR004464;
P0ABH7,PF00285;,IPR016142;IPR016143;IPR002020;IPR019810;IPR024176;IPR036969;IPR010953;
P09831,PF00310;PF04898;PF01645;PF01493;,IPR013785;IPR017932;IPR002489;IPR036485;IPR006982;IPR002932;IPR029055;
P37902,PF00497;,IPR001638;
P0AAG3,PF00005;,IPR003593;IPR030679;IPR003439;IPR017871;IPR027417;
P00960,PF02091;,IPR006194;IPR002310;
P00961,PF05746;PF02092;,IPR008909;IPR015944;IPR006194;
P63228,,IPR036412;IPR006549;IPR023214;IPR004446;IPR006543;
P00350,PF00393;PF03446;,IPR008927;IPR013328;IPR006114;IPR006113;IPR006115;IPR006184;IPR036291;IPR006183;
P0AC92,PF08178;,IPR012563;
P77695,PF08178;,IPR012563;
P63020,PF01521;PF01106;,IPR017726;IPR000361;IPR034904;IPR035903;IPR001075;
P06715,PF07992;PF02852;,IPR036188;IPR023753;IPR016156;IPR006322;IPR001100;IPR004099;IPR012999;
P32662,,IPR036412;IPR006439;IPR023214;IPR023198;IPR006346;IPR037512;
P37689,PF06415;PF01676;,IPR017849;IPR017850;IPR011258;IPR006124;IPR036646;IPR005995;
P0A6S7,PF07479;PF01210;,IPR008927;IPR013328;IPR006168;IPR006109;IPR011128;IPR036291;
P0A9M5,PF00156;,IPR000836;IPR029057;IPR023747;
P0A6F5,PF00118;,IPR018370;IPR001844;IPR002423;IPR027409;IPR027413;IPR027410;
P09372,PF01025;,IPR000740;IPR013805;IPR009012;
P0AC62,PF00462;,IPR011767;IPR002109;IPR014025;IPR011900;IPR036249;
P04425,PF02955;PF02951;,IPR011761;IPR013815;IPR006284;IPR004218;IPR004215;IPR016185;
P0AEW6,PF00294;,IPR002173;IPR011611;IPR029056;
P45756,PF13401;PF01471;,IPR003593;IPR027417;IPR002477;IPR036365;IPR036366;
P45759,PF00437;,IPR003593;IPR027417;IPR001482;IPR013369;
P0AES0,PF05257;PF03738;,IPR007921;IPR005494;IPR038765;IPR016185;
P04079,PF00117;PF00958;PF02540;,IPR029062;IPR017926;IPR001674;IPR004739;IPR022955;IPR025777;IPR022310;IPR014729;
P60560,PF00478;,IPR013785;IPR005993;IPR015875;IPR001093;
P0AES4,PF03989;PF00521;,IPR005743;IPR006691;IPR035516;IPR013760;IPR002205;IPR013758;IPR013757;
P0ABR5,PF00355;PF00848;,IPR020875;IPR017941;IPR036922;IPR015881;IPR015879;IPR001663;
P31658,,IPR029062;IPR017283;
P75825,PF03063;,IPR004137;IPR010048;IPR016099;IPR011254;IPR016100;
P75824,PF00970;PF00111;PF00175;,IPR036010;IPR001041;IPR012675;IPR008333;IPR017927;IPR039261;IPR001433;IPR000951;IPR017938;
P69931,PF00308;,IPR020591;IPR013317;IPR017788;IPR022864;IPR027417;
P0A8R9,PF00126;PF03466;,IPR005119;IPR020890;IPR000847;IPR036388;IPR036390;
P15038,PF12462;PF00580;PF13361;,IPR014017;IPR000212;IPR022161;IPR027417;IPR014016;IPR034739;
P29680,PF01208;,IPR038071;IPR006361;IPR000257;
P36553,PF01218;,IPR001260;IPR036406;IPR018375;
P23893,PF00202;,IPR004639;IPR005814;IPR015424;IPR015422;IPR015421;
P60240,PF00271;PF12137;PF00176;PF18339;PF18337;,IPR014001;IPR001650;IPR023949;IPR027417;IPR022737;IPR038718;IPR000330;IPR040765;IPR040766;
P0ACE3,PF05321;,IPR007985;IPR036666;
P0ACE7,PF01230;,IPR019808;IPR001310;IPR011146;IPR036265;
P23874,PF13657;PF07804;,IPR012893;IPR017508;
P06987,PF00475;PF08645;,IPR036412;IPR006549;IPR023214;IPR020566;IPR005954;IPR006543;IPR038494;IPR000807;IPR020565;IPR013954;IPR020568;
P60595,PF00117;,IPR029062;IPR017926;IPR010139;
P07109,PF00005;,IPR003593;IPR030679;IPR003439;IPR017871;IPR027417;
P0AEU7,PF03938;,IPR005632;IPR024930;
P77335,PF06109;,IPR027018;
P0ACF8,PF00816;,IPR027444;IPR037150;IPR001801;IPR027454;
P28630,PF14840;PF06144;,IPR008921;IPR032780;IPR010372;IPR005790;IPR027417;
P28631,PF09115;,IPR008921;IPR004622;IPR015199;IPR027417;
P28905,PF04364;,IPR007459;IPR036768;
P28632,PF03603;,IPR004615;IPR036654;IPR018382;
P0ABS8,PF06440;,IPR009052;IPR036745;
P0A9M2,PF00156;,IPR005904;IPR000836;IPR029057;
P43329,PF00270;PF11898;PF04408;PF00271;PF07717;,IPR003593;IPR011545;IPR011709;IPR007502;IPR014001;IPR001650;IPR024590;IPR027417;IPR010222;
P37024,PF00270;PF04408;PF00271;PF08482;,IPR011545;IPR007502;IPR014001;IPR001650;IPR010225;IPR027417;IPR013689;
P0A6Z1,PF00012;,IPR018181;IPR029048;IPR029047;IPR013126;IPR010236;
P0A6L9,PF07743;,IPR001623;IPR004640;IPR036386;IPR009073;IPR036869;
P77319,PF00012;,IPR018181;IPR029047;IPR013126;
P08957,PF12161;PF02384;,IPR022749;IPR038333;IPR003356;IPR002052;IPR029063;
P0A6Y5,PF01430;,IPR000397;IPR016154;IPR016153;IPR023212;
P0ACG8,PF01479;,IPR025708;IPR002942;IPR036986;
P0A6H5,PF00004;PF07724;PF10431;,IPR003593;IPR003959;IPR019489;IPR004491;IPR027417;
P0A7B8,PF00227;,IPR022281;IPR029055;IPR001353;IPR023333;
P0A6Z3,PF02518;PF00183;,IPR003594;IPR036890;IPR019805;IPR037196;IPR001404;IPR020575;IPR020568;
P33129,PF13953;PF13954;PF00577;,IPR000015;IPR018030;IPR025949;IPR025885;IPR037224;
P0ACF4,PF00216;,IPR000119;IPR020816;IPR010992;
P69739,PF14720;PF01058;,IPR027394;IPR006137;IPR037148;IPR037024;IPR001821;IPR006311;IPR019546;
P0ACD8,PF00374;,IPR001501;IPR018194;IPR029014;
P19930,PF01750;,IPR004419;IPR023430;IPR000671;
P19932,PF04809;,IPR038527;IPR006894;
P0AAJ8,PF13247;,IPR017896;IPR017900;IPR019546;
P0AAM7,PF01455;,IPR037254;IPR019812;IPR001109;
P69741,PF14720;PF01058;,IPR027394;IPR006137;IPR037148;IPR037024;IPR001821;IPR006311;IPR019546;
P16431,PF00329;PF00346;PF00374;,IPR001135;IPR038290;IPR037232;IPR001268;IPR014029;IPR001501;IPR029014;
P16432,PF12838;,IPR017896;IPR017900;IPR010226;
P16433,PF01058;,IPR006137;IPR006138;
P0AEV9,PF01750;,IPR004420;IPR023430;IPR000671;
P0AAK4,PF13247;PF12798;PF12800;,IPR017896;IPR017900;
P23482,PF00361;,IPR003918;IPR001750;
P77329,PF00329;PF00346;PF00374;,IPR001135;IPR038290;IPR037232;IPR001268;IPR014029;IPR001501;IPR029014;
P0A700,PF01155;,IPR020538;IPR000688;
P0AAM3,PF01455;,IPR037254;IPR019812;IPR001109;
P24192,PF01924;,IPR002780;
P24193,PF00586;PF02769;,IPR011854;IPR010918;IPR036676;IPR016188;IPR036921;
P30131,PF00708;PF01300;PF07503;,IPR001792;IPR036046;IPR017968;IPR004421;IPR017945;IPR006070;IPR011125;
P0C054,PF00011;,IPR002068;IPR037913;IPR031107;IPR008978;IPR023728;
P0C058,PF00011;,IPR002068;IPR037913;IPR031107;IPR008978;IPR022848;
P08200,PF00180;,IPR019818;IPR004439;IPR024084;
P16528,PF09339;PF01614;,IPR029016;IPR014757;IPR005471;IPR036388;IPR036390;
P39346,PF08240;PF00107;,IPR013149;IPR013154;IPR011032;IPR036291;
P39343,PF00356;,IPR000843;IPR010982;IPR028082;
P39344,PF02447;,IPR003474;
P0A6Y1,PF00216;,IPR000119;IPR020816;IPR010992;IPR005685;
P00956,PF08264;PF00133;PF06827;,IPR001412;IPR002300;IPR033708;IPR002301;IPR023585;IPR013155;IPR014729;IPR009080;IPR009008;IPR010663;
P08142,PF02775;PF00205;PF02776;,IPR012846;IPR039368;IPR029035;IPR029061;IPR012000;IPR012001;IPR000399;IPR011766;
P05791,PF00920;,IPR004404;IPR000581;IPR020558;IPR037237;
P00894,PF10369;,IPR004789;IPR027271;IPR019455;IPR002912;IPR039557;
P00893,PF02775;PF00205;PF02776;,IPR012846;IPR039368;IPR029035;IPR029061;IPR012000;IPR012001;IPR000399;IPR011766;
P0ADG1,,IPR002912;
P0ADF8,PF01842;,IPR004789;IPR002912;IPR039557;
P05827,PF00126;PF03466;,IPR037404;IPR005119;IPR000847;IPR036388;IPR036390;
P31554,PF04453;PF03968;,IPR020889;IPR007543;IPR005653;
P27294,,IPR011009;IPR027023;
P0CF93,PF01609;,IPR012337;IPR002559;IPR014736;
P0CF92,PF01609;,IPR012337;IPR002559;IPR014736;
P0CF91,PF01609;,IPR012337;IPR002559;IPR014736;
P75679,PF01527;,IPR009057;IPR002514;
P32053,PF13356;PF00589;,IPR011010;IPR013762;IPR002104;IPR038488;IPR025166;IPR010998;
P24218,PF00589;,IPR011010;IPR013762;IPR002104;IPR010998;
P75969,PF09003;PF00589;,IPR016177;IPR011010;IPR013762;IPR002104;IPR015094;IPR010998;
P76168,PF12167;PF00589;,IPR011010;IPR013762;IPR002104;IPR010998;IPR022000;
P76056,PF12167;PF00589;,IPR011010;IPR013762;IPR002104;IPR010998;IPR022000;
P37326,PF13356;PF14659;PF00589;,IPR011010;IPR013762;IPR002104;IPR038488;IPR025166;IPR010998;IPR004107;
P0AGK8,PF02082;,IPR010242;IPR030489;IPR000944;IPR036388;IPR036390;
P0A6B7,PF00266;,IPR000192;IPR020578;IPR010240;IPR016454;IPR015424;IPR015422;IPR015421;
P0ACD4,PF01592;,IPR011339;IPR002871;
P22939,PF00348;,IPR008949;IPR000092;IPR033749;
P0AD57,PF00348;,IPR008949;IPR000092;IPR033749;
P62615,PF08544;PF00288;,IPR013750;IPR036554;IPR006204;IPR004424;IPR020568;IPR014721;
P62617,PF02542;,IPR003526;IPR020555;IPR036571;
P62623,PF02401;,IPR003451;
P21179,PF00199;PF06628;,IPR018028;IPR024708;IPR024712;IPR011614;IPR037060;IPR002226;IPR010582;IPR020835;IPR029062;
P13029,PF00141;,IPR000763;IPR002016;IPR010255;IPR019794;IPR019793;
P0AB74,PF01116;,IPR013785;IPR000771;IPR023788;IPR011288;
P0AB77,PF00155;,IPR011282;IPR001917;IPR004839;IPR015424;IPR015422;IPR015421;
P37647,PF00294;,IPR002173;IPR011611;IPR029056;
P76268,PF09339;PF01614;,IPR011991;IPR029016;IPR014757;IPR005471;IPR036388;IPR036390;
P21865,PF13493;PF13492;PF02518;PF00512;PF02702;,IPR003018;IPR029016;IPR003594;IPR036890;IPR005467;IPR003661;IPR036097;IPR038318;IPR025201;IPR004358;IPR003852;
P21866,PF00072;PF00486;,IPR011006;IPR001867;IPR001789;IPR039420;IPR036388;
P04951,PF02348;,IPR003329;IPR004528;IPR029044;
P0A754,PF02525;,IPR003680;IPR029039;IPR023948;
P0A756,PF02525;,IPR003680;IPR029039;IPR023947;
P03023,PF00356;,IPR000843;IPR010982;IPR028082;
P02920,PF01306;,IPR000576;IPR018457;IPR020846;IPR036259;
P00722,PF02929;PF16353;PF00703;PF02836;PF02837;,IPR004199;IPR036156;IPR011013;IPR008979;IPR014718;IPR006101;IPR023232;IPR023933;IPR006103;IPR023230;IPR006102;IPR006104;IPR017853;IPR013783;IPR032312;
P02943,PF02264;,IPR023738;IPR003192;IPR036998;
P00803,PF00717;PF10502;,IPR036286;IPR000223;IPR019758;IPR019757;IPR019756;IPR015927;IPR019533;
P09151,PF00682;PF08502;,IPR013709;IPR002034;IPR013785;IPR036230;IPR005671;IPR000891;
P30125,PF00180;,IPR019818;IPR024084;IPR004429;
P0A6A6,PF00330;,IPR004430;IPR015931;IPR001030;IPR018136;IPR036008;IPR033941;
P30126,PF00694;,IPR004431;IPR015928;IPR000573;IPR033940;
P07813,PF08264;PF00133;PF13603;,IPR001412;IPR002300;IPR002302;IPR025709;IPR013155;IPR014729;IPR009080;IPR009008;
P0A7C2,PF01726;PF00717;,IPR006200;IPR039418;IPR036286;IPR006199;IPR006197;IPR015927;IPR036388;IPR036390;
P15042,PF00533;PF01653;PF03120;PF03119;,IPR001357;IPR036420;IPR018239;IPR033136;IPR001679;IPR013839;IPR013840;IPR003583;IPR012340;IPR004150;IPR010994;IPR004149;
P60716,PF16881;PF04055;,IPR013785;IPR006638;IPR031691;IPR003698;IPR007197;
P22731,PF00005;,IPR003593;IPR030660;IPR003439;IPR017871;IPR027417;
P33232,PF01070;,IPR013785;IPR012133;IPR000262;IPR037396;IPR008259;IPR020920;
P23930,PF00795;,IPR004563;IPR003010;IPR036526;
P61316,PF03548;,IPR029046;IPR004564;IPR018323;
P0ADC3,PF02687;PF12704;,IPR003838;IPR011925;IPR025857;
P75957,PF00005;,IPR003593;IPR003439;IPR017871;IPR015854;IPR011924;IPR027417;
P75958,PF02687;PF12704;,IPR003838;IPR011926;IPR011925;IPR025857;
P0A9M0,PF00004;PF05362;PF02190;,IPR003593;IPR003959;IPR027543;IPR004815;IPR008269;IPR027065;IPR003111;IPR027417;IPR008268;IPR015947;IPR020568;IPR014721;
P0A9P0,PF07992;PF02852;,IPR036188;IPR023753;IPR016156;IPR006258;IPR001100;IPR004099;IPR012999;
P69776,PF04728;,IPR006817;IPR016367;
P0A722,PF13720;PF00132;,IPR029098;IPR037157;IPR001451;IPR018357;IPR010137;IPR011004;
P10441,PF02684;,IPR003835;
P0A725,PF03331;,IPR020568;IPR004463;IPR011334;IPR015870;
P21645,PF00132;PF14602;PF04613;,IPR001451;IPR018357;IPR007691;IPR011004;IPR020573;
P0ACJ0,PF01037;,IPR011991;IPR000485;IPR011008;IPR019888;IPR019887;IPR019885;IPR036388;IPR036390;
P76143,PF01791;,IPR013785;IPR002915;IPR033673;
P64461,PF03992;,IPR007138;IPR011008;IPR033672;
P75823,PF01212;,IPR001597;IPR015424;IPR015422;IPR015421;IPR023603;
P45578,PF02664;,IPR037005;IPR011249;IPR003815;
P0A8N3,PF00152;PF01336;,IPR004364;IPR006195;IPR002313;IPR034762;IPR018149;IPR012340;IPR004365;
P75830,PF16576;,IPR032317;IPR030190;IPR006143;
P76558,PF00390;PF03949;PF01515;,IPR015884;IPR012301;IPR037062;IPR012302;IPR012188;IPR036291;IPR002505;
P0AEX9,PF13416;,IPR006060;IPR006059;IPR006061;
P02916,PF00528;PF14785;,IPR030156;IPR035277;IPR029345;IPR000515;IPR035906;
P68183,PF00528;,IPR000515;IPR035906;
P18811,PF00356;PF00532;,IPR000843;IPR010982;IPR001761;IPR028082;
P68187,PF00005;PF17912;,IPR003593;IPR003439;IPR017871;IPR015855;IPR008995;IPR040582;IPR027417;
P00490,PF00343;,IPR011833;IPR000811;IPR035090;
P06993,PF00196;,IPR027417;IPR016032;IPR011990;IPR023768;IPR000792;IPR036388;
P19642,PF00367;PF02378;,IPR036878;IPR018113;IPR003352;IPR013013;IPR001996;IPR011301;IPR004719;
P23256,PF00155;,IPR004839;IPR027619;IPR015424;IPR015422;IPR015421;
P21517,PF00128;PF02903;,IPR006047;IPR004185;IPR013780;IPR017853;IPR014756;IPR017069;
P00946,PF01238;,IPR001250;IPR016305;IPR018050;IPR014710;IPR011051;
P69797,PF03610;PF03830;,IPR013789;IPR004701;IPR036662;IPR033887;IPR004720;IPR036667;IPR018455;
P0AEY3,PF03819;,IPR004518;IPR011551;
P15005,PF07728;PF12102;,IPR003593;IPR011704;IPR021961;IPR027417;
P15006,PF10117;,IPR014407;IPR019292;
P61889,PF02866;PF00056;,IPR001557;IPR022383;IPR001236;IPR015955;IPR001252;IPR010097;IPR023958;IPR036291;
P62517,PF00535;,IPR023725;IPR001173;IPR029044;
P37636,PF00529;PF16576;,IPR032317;IPR006143;
P31462,PF07690;,IPR011701;IPR020846;IPR036259;IPR023697;
P06720,PF02056;PF11975;,IPR019802;IPR001088;IPR022616;IPR015955;IPR036291;
P02921,,IPR039672;IPR036259;IPR001927;IPR018043;
P0ACH8,PF12833;,IPR009057;IPR018060;IPR018062;IPR014710;IPR011051;IPR008917;IPR020449;
P0ABU0,PF00378;,IPR029045;IPR010198;IPR018376;IPR001753;IPR014748;
P17109,PF02775;PF16582;PF02776;,IPR004433;IPR032264;IPR029061;IPR012001;IPR011766;
P07623,PF04204;,IPR029062;IPR005697;IPR033752;
P00935,PF01053;,IPR000277;IPR011821;IPR015424;IPR015422;IPR015421;
P25665,PF08267;PF01717;,IPR013215;IPR006276;IPR002629;IPR038071;
P13009,PF02310;PF02607;PF02965;PF00809;PF02574;,IPR003759;IPR006158;IPR036724;IPR011005;IPR003726;IPR036589;IPR033706;IPR011822;IPR036594;IPR000489;IPR004223;IPR037010;
P0A817,PF02773;PF02772;PF00438;,IPR022631;IPR022630;IPR022629;IPR022628;IPR002133;IPR022636;
P30750,PF00005;PF09383;,IPR003593;IPR026253;IPR012692;IPR003439;IPR017871;IPR017908;IPR018449;IPR027417;
P28635,PF03180;,IPR004872;
P30958,PF02559;PF00270;PF00271;PF03461;,IPR036101;IPR003711;IPR011545;IPR014001;IPR001650;IPR004576;IPR027417;IPR037235;IPR005118;
P0AAG8,PF00005;,IPR003593;IPR003439;IPR017871;IPR015862;IPR027417;
P0AEE5,PF13407;,IPR028082;IPR025997;
P51020,PF07836;PF00682;,IPR017629;IPR013785;IPR012425;IPR035685;IPR000891;
P16384,PF01715;,IPR039657;IPR018022;IPR027417;
P18196,PF03775;PF05209;,IPR016098;IPR013033;IPR036145;IPR007874;IPR038061;IPR005526;
P0A734,PF03776;,IPR005527;IPR036707;
P03817,PF00258;,IPR008254;IPR029039;
P33358,PF13411;,IPR009061;IPR000551;
P41052,PF13406;,IPR023346;IPR011757;IPR031304;
P54745,PF00359;PF02378;PF02302;,IPR016152;IPR002178;IPR036095;IPR013011;IPR003501;IPR003352;IPR013014;IPR004715;IPR003353;IPR006327;
P0A9F1,PF02742;PF01325;,IPR001367;IPR036421;IPR022687;IPR022689;IPR036388;IPR036390;
P30745,PF06463;PF04055;,IPR013785;IPR006638;IPR013483;IPR000385;IPR010505;IPR007197;
P0A738,PF01967;,IPR023045;IPR036522;IPR002820;
P30748,PF02597;,IPR012675;IPR016155;IPR003749;
P30749,PF02391;,IPR036563;IPR003448;
P32173,PF12804;,IPR025877;IPR013482;IPR029044;
P32125,PF03205;,IPR004435;IPR027417;
P0AF01,PF00528;,IPR000515;IPR035906;IPR011867;
P09833,PF00005;PF03459;,IPR003593;IPR003439;IPR017871;IPR015852;IPR004606;IPR008995;IPR011868;IPR027417;IPR005116;
P31060,PF00005;,IPR003593;IPR003439;IPR027417;
P12281,PF00994;PF03454;PF03453;,IPR036425;IPR001453;IPR008284;IPR038987;IPR005111;IPR036688;IPR005110;IPR036135;
P0AF03,PF00994;,IPR036425;IPR001453;IPR008284;
P09348,PF01618;,IPR000540;IPR022522;IPR002898;
P0AF06,PF13677;PF00691;,IPR025713;IPR006665;IPR036737;
P37773,PF01225;PF02875;PF08245;,IPR005757;IPR036565;IPR004101;IPR036615;IPR013221;IPR000713;
P22186,PF02381;,IPR003444;IPR035644;IPR020603;IPR035642;IPR038619;IPR007159;IPR037914;
P02919,PF14812;PF00912;PF00905;PF14814;,IPR012338;IPR001264;IPR023346;IPR032730;IPR011813;IPR036950;IPR001460;IPR028166;
P0A9X4,PF06723;,IPR004753;
P16926,PF04085;,IPR007221;
P0ABH4,PF04093;,IPR007227;IPR026034;
P0A744,PF01625;,IPR002569;IPR036509;
P46022,PF00912;,IPR001264;IPR023346;IPR036950;IPR011812;
P00550,PF00359;PF02378;PF02302;,IPR016152;IPR002178;IPR036095;IPR013011;IPR003501;IPR029503;IPR003352;IPR013014;IPR004718;
P09424,PF01232;PF08125;,IPR008927;IPR013328;IPR023028;IPR000669;IPR013118;IPR023027;IPR013131;IPR036291;
P22523,PF04310;PF16330;,IPR012090;IPR032520;IPR007406;IPR027417;
P22524,PF04288;,IPR007385;
P60293,PF03882;PF17193;PF17192;,IPR005582;IPR033441;IPR038198;IPR033440;IPR036141;IPR033439;IPR036388;IPR036390;
P08373,PF01565;PF02873;,IPR016166;IPR036318;IPR016167;IPR016169;IPR003170;IPR011601;IPR036635;IPR006094;
P17952,PF01225;PF02875;PF08245;,IPR036565;IPR004101;IPR036615;IPR013221;IPR000713;IPR005758;
